list,list_lags,Eto,lags_Target,rmse,mae,nse,mbe,forecast_horizon,model,selection_attribute_type,horizon,station_name,code_execution
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.75,0.33,0.04,10,xgb,1,10,Sete_lagoas_2013,4
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.77,0.57,0.59,-0.02,1,florestaAleatoria,0,1,Sete_lagoas_2013,4
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.76,0.56,0.6,0.01,1,florestaAleatoria,1,1,Sete_lagoas_2013,4
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",0.98,0.74,0.34,-0.04,3,florestaAleatoria,0,3,Sete_lagoas_2013,4
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.94,0.71,0.39,0.01,3,florestaAleatoria,1,3,Sete_lagoas_2013,4
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",1.0,0.78,0.31,-0.01,7,florestaAleatoria,0,7,Sete_lagoas_2013,4
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.97,0.74,0.35,0.02,7,florestaAleatoria,1,7,Sete_lagoas_2013,4
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.03,0.8,0.27,0.01,10,florestaAleatoria,0,10,Sete_lagoas_2013,4
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.75,0.34,0.02,10,florestaAleatoria,1,10,Sete_lagoas_2013,4
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.79,0.59,0.57,0.01,1,arvore,0,1,Sete_lagoas_2013,5
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.79,0.6,0.56,0.02,1,arvore,1,1,Sete_lagoas_2013,5
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",1.02,0.79,0.29,-0.02,3,arvore,0,3,Sete_lagoas_2013,5
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.98,0.76,0.34,0.01,3,arvore,1,3,Sete_lagoas_2013,5
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",1.04,0.84,0.25,-0.01,7,arvore,0,7,Sete_lagoas_2013,5
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",1.01,0.81,0.3,0.0,7,arvore,1,7,Sete_lagoas_2013,5
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.09,0.88,0.19,-0.0,10,arvore,0,10,Sete_lagoas_2013,5
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.97,0.76,0.35,0.01,10,arvore,1,10,Sete_lagoas_2013,5
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.77,0.56,0.6,-0.02,1,xgb,0,1,Sete_lagoas_2013,5
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.76,0.56,0.6,0.0,1,xgb,1,1,Sete_lagoas_2013,5
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",0.99,0.75,0.33,-0.02,3,xgb,0,3,Sete_lagoas_2013,5
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.94,0.71,0.39,0.03,3,xgb,1,3,Sete_lagoas_2013,5
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",0.99,0.76,0.32,0.03,7,xgb,0,7,Sete_lagoas_2013,5
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.98,0.74,0.34,0.05,7,xgb,1,7,Sete_lagoas_2013,5
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.03,0.81,0.27,0.02,10,xgb,0,10,Sete_lagoas_2013,5
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.75,0.33,0.04,10,xgb,1,10,Sete_lagoas_2013,5
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.77,0.57,0.59,-0.02,1,florestaAleatoria,0,1,Sete_lagoas_2013,5
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.76,0.56,0.6,0.01,1,florestaAleatoria,1,1,Sete_lagoas_2013,5
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",0.98,0.74,0.34,-0.04,3,florestaAleatoria,0,3,Sete_lagoas_2013,5
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.94,0.71,0.39,-0.0,3,florestaAleatoria,1,3,Sete_lagoas_2013,5
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",1.0,0.78,0.31,-0.0,7,florestaAleatoria,0,7,Sete_lagoas_2013,5
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.97,0.75,0.34,0.02,7,florestaAleatoria,1,7,Sete_lagoas_2013,5
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.02,0.8,0.28,0.01,10,florestaAleatoria,0,10,Sete_lagoas_2013,5
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.75,0.34,0.02,10,florestaAleatoria,1,10,Sete_lagoas_2013,5
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.79,0.59,0.57,0.01,1,arvore,0,1,Sete_lagoas_2013,6
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.79,0.6,0.56,0.02,1,arvore,1,1,Sete_lagoas_2013,6
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",1.02,0.79,0.29,-0.02,3,arvore,0,3,Sete_lagoas_2013,6
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.98,0.76,0.34,0.01,3,arvore,1,3,Sete_lagoas_2013,6
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",1.04,0.84,0.25,-0.01,7,arvore,0,7,Sete_lagoas_2013,6
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",1.04,0.84,0.25,0.01,7,arvore,1,7,Sete_lagoas_2013,6
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.09,0.88,0.19,-0.0,10,arvore,0,10,Sete_lagoas_2013,6
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.76,0.34,0.02,10,arvore,1,10,Sete_lagoas_2013,6
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.77,0.56,0.6,-0.02,1,xgb,0,1,Sete_lagoas_2013,6
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.76,0.56,0.6,0.0,1,xgb,1,1,Sete_lagoas_2013,6
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",0.99,0.75,0.33,-0.02,3,xgb,0,3,Sete_lagoas_2013,6
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.94,0.71,0.39,0.03,3,xgb,1,3,Sete_lagoas_2013,6
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",0.99,0.76,0.32,0.03,7,xgb,0,7,Sete_lagoas_2013,6
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.98,0.74,0.34,0.05,7,xgb,1,7,Sete_lagoas_2013,6
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.03,0.81,0.27,0.02,10,xgb,0,10,Sete_lagoas_2013,6
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.75,0.33,0.04,10,xgb,1,10,Sete_lagoas_2013,6
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.77,0.57,0.59,-0.02,1,florestaAleatoria,0,1,Sete_lagoas_2013,6
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.76,0.56,0.6,0.01,1,florestaAleatoria,1,1,Sete_lagoas_2013,6
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",0.98,0.74,0.34,-0.04,3,florestaAleatoria,0,3,Sete_lagoas_2013,6
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.94,0.71,0.39,0.0,3,florestaAleatoria,1,3,Sete_lagoas_2013,6
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",1.0,0.78,0.31,-0.0,7,florestaAleatoria,0,7,Sete_lagoas_2013,6
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.97,0.74,0.35,0.02,7,florestaAleatoria,1,7,Sete_lagoas_2013,6
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.02,0.8,0.28,0.01,10,florestaAleatoria,0,10,Sete_lagoas_2013,6
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.75,0.34,0.02,10,florestaAleatoria,1,10,Sete_lagoas_2013,6
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.79,0.59,0.57,0.01,1,arvore,0,1,Sete_lagoas_2013,7
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.79,0.6,0.56,0.02,1,arvore,1,1,Sete_lagoas_2013,7
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",1.02,0.79,0.29,-0.02,3,arvore,0,3,Sete_lagoas_2013,7
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.98,0.76,0.34,0.01,3,arvore,1,3,Sete_lagoas_2013,7
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",1.04,0.84,0.25,-0.01,7,arvore,0,7,Sete_lagoas_2013,7
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",1.01,0.8,0.29,0.0,7,arvore,1,7,Sete_lagoas_2013,7
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.09,0.88,0.19,-0.0,10,arvore,0,10,Sete_lagoas_2013,7
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],1.01,0.78,0.3,0.03,10,arvore,1,10,Sete_lagoas_2013,7
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.77,0.56,0.6,-0.02,1,xgb,0,1,Sete_lagoas_2013,7
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.76,0.56,0.6,0.0,1,xgb,1,1,Sete_lagoas_2013,7
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",0.99,0.75,0.33,-0.02,3,xgb,0,3,Sete_lagoas_2013,7
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.94,0.71,0.39,0.03,3,xgb,1,3,Sete_lagoas_2013,7
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",0.99,0.76,0.32,0.03,7,xgb,0,7,Sete_lagoas_2013,7
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.98,0.74,0.34,0.05,7,xgb,1,7,Sete_lagoas_2013,7
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.03,0.81,0.27,0.02,10,xgb,0,10,Sete_lagoas_2013,7
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.75,0.33,0.04,10,xgb,1,10,Sete_lagoas_2013,7
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.77,0.57,0.59,-0.02,1,florestaAleatoria,0,1,Sete_lagoas_2013,7
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.76,0.56,0.6,0.01,1,florestaAleatoria,1,1,Sete_lagoas_2013,7
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",0.98,0.74,0.34,-0.04,3,florestaAleatoria,0,3,Sete_lagoas_2013,7
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.94,0.71,0.39,-0.0,3,florestaAleatoria,1,3,Sete_lagoas_2013,7
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",1.01,0.78,0.3,-0.01,7,florestaAleatoria,0,7,Sete_lagoas_2013,7
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.97,0.74,0.35,0.02,7,florestaAleatoria,1,7,Sete_lagoas_2013,7
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.03,0.8,0.28,0.01,10,florestaAleatoria,0,10,Sete_lagoas_2013,7
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.74,0.34,0.02,10,florestaAleatoria,1,10,Sete_lagoas_2013,7
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.79,0.59,0.57,0.01,1,arvore,0,1,Sete_lagoas_2013,8
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.79,0.6,0.56,0.02,1,arvore,1,1,Sete_lagoas_2013,8
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",1.02,0.79,0.29,-0.02,3,arvore,0,3,Sete_lagoas_2013,8
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.98,0.76,0.34,0.01,3,arvore,1,3,Sete_lagoas_2013,8
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",1.04,0.84,0.25,-0.01,7,arvore,0,7,Sete_lagoas_2013,8
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",1.01,0.8,0.3,0.01,7,arvore,1,7,Sete_lagoas_2013,8
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.09,0.88,0.19,-0.0,10,arvore,0,10,Sete_lagoas_2013,8
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.76,0.34,0.02,10,arvore,1,10,Sete_lagoas_2013,8
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.77,0.56,0.6,-0.02,1,xgb,0,1,Sete_lagoas_2013,8
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.76,0.56,0.6,0.0,1,xgb,1,1,Sete_lagoas_2013,8
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",0.99,0.75,0.33,-0.02,3,xgb,0,3,Sete_lagoas_2013,8
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.94,0.71,0.39,0.03,3,xgb,1,3,Sete_lagoas_2013,8
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",0.99,0.76,0.32,0.03,7,xgb,0,7,Sete_lagoas_2013,8
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.98,0.74,0.34,0.05,7,xgb,1,7,Sete_lagoas_2013,8
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.03,0.81,0.27,0.02,10,xgb,0,10,Sete_lagoas_2013,8
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.75,0.33,0.04,10,xgb,1,10,Sete_lagoas_2013,8
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.77,0.57,0.59,-0.02,1,florestaAleatoria,0,1,Sete_lagoas_2013,8
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.76,0.56,0.6,0.01,1,florestaAleatoria,1,1,Sete_lagoas_2013,8
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",0.98,0.74,0.33,-0.04,3,florestaAleatoria,0,3,Sete_lagoas_2013,8
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.94,0.71,0.39,-0.0,3,florestaAleatoria,1,3,Sete_lagoas_2013,8
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",1.01,0.79,0.29,-0.01,7,florestaAleatoria,0,7,Sete_lagoas_2013,8
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.97,0.74,0.35,0.02,7,florestaAleatoria,1,7,Sete_lagoas_2013,8
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.03,0.8,0.27,0.01,10,florestaAleatoria,0,10,Sete_lagoas_2013,8
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.75,0.34,0.02,10,florestaAleatoria,1,10,Sete_lagoas_2013,8
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.79,0.59,0.57,0.01,1,arvore,0,1,Sete_lagoas_2013,9
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.79,0.6,0.56,0.02,1,arvore,1,1,Sete_lagoas_2013,9
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",1.02,0.79,0.29,-0.02,3,arvore,0,3,Sete_lagoas_2013,9
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.98,0.76,0.34,0.01,3,arvore,1,3,Sete_lagoas_2013,9
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",1.04,0.84,0.25,-0.01,7,arvore,0,7,Sete_lagoas_2013,9
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",1.02,0.82,0.28,0.01,7,arvore,1,7,Sete_lagoas_2013,9
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.09,0.88,0.19,-0.0,10,arvore,0,10,Sete_lagoas_2013,9
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.76,0.33,0.02,10,arvore,1,10,Sete_lagoas_2013,9
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.77,0.56,0.6,-0.02,1,xgb,0,1,Sete_lagoas_2013,9
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.76,0.56,0.6,0.0,1,xgb,1,1,Sete_lagoas_2013,9
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",0.99,0.75,0.33,-0.02,3,xgb,0,3,Sete_lagoas_2013,9
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.94,0.71,0.39,0.03,3,xgb,1,3,Sete_lagoas_2013,9
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",0.99,0.76,0.32,0.03,7,xgb,0,7,Sete_lagoas_2013,9
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.98,0.74,0.34,0.05,7,xgb,1,7,Sete_lagoas_2013,9
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.03,0.81,0.27,0.02,10,xgb,0,10,Sete_lagoas_2013,9
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.75,0.33,0.04,10,xgb,1,10,Sete_lagoas_2013,9
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.77,0.57,0.59,-0.02,1,florestaAleatoria,0,1,Sete_lagoas_2013,9
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.76,0.56,0.6,0.01,1,florestaAleatoria,1,1,Sete_lagoas_2013,9
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",0.98,0.74,0.34,-0.04,3,florestaAleatoria,0,3,Sete_lagoas_2013,9
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.94,0.71,0.39,-0.0,3,florestaAleatoria,1,3,Sete_lagoas_2013,9
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",1.01,0.78,0.3,-0.0,7,florestaAleatoria,0,7,Sete_lagoas_2013,9
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.97,0.74,0.35,0.02,7,florestaAleatoria,1,7,Sete_lagoas_2013,9
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.03,0.8,0.27,0.01,10,florestaAleatoria,0,10,Sete_lagoas_2013,9
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.98,0.75,0.34,0.02,10,florestaAleatoria,1,10,Sete_lagoas_2013,9
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.79,0.59,0.57,0.01,1,arvore,0,1,Sete_lagoas_2013,10
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.79,0.6,0.56,0.02,1,arvore,1,1,Sete_lagoas_2013,10
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",1.02,0.79,0.29,-0.02,3,arvore,0,3,Sete_lagoas_2013,10
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.98,0.76,0.34,0.01,3,arvore,1,3,Sete_lagoas_2013,10
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",1.04,0.84,0.25,-0.01,7,arvore,0,7,Sete_lagoas_2013,10
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",1.02,0.81,0.28,0.01,7,arvore,1,7,Sete_lagoas_2013,10
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.09,0.88,0.19,-0.0,10,arvore,0,10,Sete_lagoas_2013,10
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.99,0.79,0.32,0.02,10,arvore,1,10,Sete_lagoas_2013,10
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.77,0.56,0.6,-0.02,1,xgb,0,1,Sete_lagoas_2013,10
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.76,0.56,0.6,0.0,1,xgb,1,1,Sete_lagoas_2013,10
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",0.99,0.75,0.33,-0.02,3,xgb,0,3,Sete_lagoas_2013,10
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.94,0.71,0.39,0.03,3,xgb,1,3,Sete_lagoas_2013,10
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",0.99,0.76,0.32,0.03,7,xgb,0,7,Sete_lagoas_2013,10
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.98,0.74,0.34,0.05,7,xgb,1,7,Sete_lagoas_2013,10
